,Predicted
0,1
1,14
2,4
3,13
4,14
5,14
6,8
7,9
8,24
9,3
10,4
11,5
12,7
13,1
14,15
15,6
16,16
17,7
18,18
19,12
20,0
21,19
22,21
23,6
24,0
25,13
26,0
27,4
28,2
29,17
30,11
31,9
32,20
33,14
34,2
35,14
36,16
37,16
38,14
39,24
40,11
41,15
42,9
43,20
44,9
45,7
46,3
47,23
48,1
49,10
50,13
51,14
52,10
53,11
54,21
55,8
56,21
57,21
58,21
59,19
60,6
61,24
62,25
63,2
64,7
65,3
66,5
67,18
68,24
69,0
70,1
71,6
72,17
73,10
74,15
75,7
76,18
77,9
78,0
79,16
80,17
81,22
82,0
83,8
84,10
85,16
86,2
87,22
88,20
89,12
90,13
91,12
92,17
93,12
94,3
95,16
96,25
97,4
98,14
99,9
100,4
101,14
102,6
103,3
104,11
105,10
106,1
107,13
108,15
109,15
110,1
111,0
112,19
113,16
114,10
115,20
116,9
117,9
118,21
119,9
120,5
121,4
122,8
123,25
124,12
125,2
126,15
127,5
128,11
129,9
130,18
131,13
132,25
133,24
134,7
135,13
136,9
137,8
138,18
139,25
140,24
141,14
142,13
143,9
144,21
145,22
146,15
147,14
148,8
149,24
150,21
151,13
152,15
153,1
154,21
155,11
156,20
157,11
158,6
159,18
160,3
161,1
162,11
163,8
164,19
165,20
166,6
167,13
168,4
169,16
170,0
171,2
172,9
173,17
174,1
175,4
176,19
177,25
178,1
179,15
180,0
181,3
182,16
183,24
184,5
185,0
186,5
187,10
188,19
189,14
190,2
191,18
192,18
193,22
194,23
195,14
196,1
197,10
198,17
199,24
200,17
201,5
202,15
203,15
204,25
205,22
206,1
207,4
208,9
209,22
210,21
211,14
212,7
213,21
214,21
215,5
216,8
217,3
218,24
219,24
220,3
221,3
222,14
223,5
224,10
225,17
226,9
227,6
228,2
229,23
230,7
231,17
232,7
233,12
234,2
235,18
236,2
237,6
238,13
239,10
240,11
241,11
242,12
243,11
244,24
245,22
246,6
247,14
248,14
249,14
250,2
251,2
252,23
253,16
254,21
255,3
256,8
257,0
258,7
259,5
260,20
261,8
262,9
263,0
264,25
265,25
266,22
267,14
268,11
269,21
270,16
271,0
272,13
273,11
274,22
275,14
276,8
277,11
278,6
279,9
280,23
281,23
282,11
283,15
284,17
285,10
286,23
287,11
288,12
289,1
290,22
291,5
292,15
293,0
294,20
295,7
296,0
297,6
298,8
299,6
300,24
301,15
302,16
303,9
304,11
305,14
306,7
307,14
308,0
309,18
310,23
311,25
312,24
313,3
314,7
315,8
316,0
317,8
318,6
319,16
320,11
321,25
322,4
323,21
324,2
325,18
326,4
327,3
328,20
329,13
330,14
331,11
332,14
333,17
334,17
335,7
