,Predicted
0,18
1,17
2,12
3,12
4,17
5,7
6,17
7,25
8,3
9,0
10,25
11,4
12,9
13,15
14,25
15,24
16,16
17,15
18,11
19,15
20,25
21,8
22,8
23,13
24,24
25,0
26,1
27,6
28,13
29,1
30,5
31,20
32,20
33,22
34,6
35,17
36,10
37,11
38,8
39,23
40,1
41,19
42,18
43,20
44,15
45,9
46,9
47,12
48,8
49,2
50,10
51,12
52,12
53,7
54,16
55,13
56,2
57,8
58,1
59,14
60,11
61,6
62,22
63,12
64,7
65,16
66,15
67,9
68,21
69,11
70,22
71,19
72,3
73,4
74,7
75,6
76,8
77,25
78,3
79,9
80,12
81,0
82,5
83,5
84,7
85,14
86,18
87,16
88,4
89,9
90,5
91,10
92,0
93,5
94,25
95,5
96,2
97,0
98,13
99,0
100,2
101,24
102,0
103,13
104,20
105,13
106,16
107,9
108,13
109,13
110,18
111,18
112,11
113,14
114,22
115,17
116,10
117,15
118,18
119,17
120,18
121,15
122,11
123,17
124,15
125,11
126,14
127,2
128,3
129,12
130,22
131,16
132,0
133,15
134,17
135,19
136,22
137,0
138,23
139,7
140,0
141,8
142,2
143,17
144,14
145,6
146,14
147,14
148,3
149,8
150,22
151,4
152,7
153,1
154,13
155,9
156,4
157,8
158,11
159,17
160,12
161,25
162,0
163,12
164,12
165,16
166,11
167,11
168,13
169,5
170,5
171,22
172,6
173,7
174,18
175,15
176,12
177,19
178,21
179,6
180,11
181,14
182,4
183,5
184,24
185,11
186,11
187,19
188,18
189,12
190,2
191,15
192,21
193,4
194,9
195,7
196,2
197,10
198,12
199,5
200,8
201,17
202,12
203,0
204,11
205,5
206,8
207,2
208,2
209,13
210,18
211,18
212,10
213,14
214,11
215,6
216,8
217,9
218,14
219,21
220,0
221,24
222,2
223,7
224,24
225,4
226,12
227,19
228,12
229,16
230,8
231,11
232,23
233,10
234,9
235,21
236,2
237,8
238,5
