,Predicted
0,8
1,11
2,12
3,9
4,21
5,24
6,0
7,11
8,19
9,23
10,17
11,2
12,15
13,23
14,13
15,24
16,11
17,13
18,8
19,12
20,13
21,9
22,22
23,23
24,23
25,5
26,12
27,21
28,6
29,21
30,21
31,14
32,21
33,0
34,18
35,10
36,0
37,18
38,1
39,6
40,12
41,12
42,20
43,11
44,0
45,7
46,0
47,11
48,7
49,12
50,14
51,24
52,5
53,24
54,8
55,10
56,9
57,18
58,18
59,12
60,9
61,21
62,4
63,14
64,17
65,8
66,23
67,22
68,22
69,8
70,13
71,21
72,16
73,3
74,17
75,24
76,4
77,25
78,22
79,0
80,22
81,13
82,20
83,20
84,0
85,4
86,24
87,9
88,0
89,8
90,24
91,24
92,14
93,0
94,0
95,12
96,2
97,0
98,22
99,12
100,10
101,20
102,12
103,0
104,13
105,2
106,19
107,24
108,2
109,13
110,12
111,12
112,9
113,16
114,13
115,20
116,8
117,17
118,24
119,9
120,0
121,0
122,22
123,13
124,23
125,11
126,21
127,9
128,8
129,22
130,0
131,11
132,14
133,13
134,0
135,21
136,22
137,24
138,24
139,12
140,7
141,2
142,22
143,13
144,12
145,22
146,2
147,17
148,19
149,7
150,25
151,7
152,11
153,25
154,23
155,7
156,13
157,7
158,21
159,8
160,11
161,6
162,8
163,1
164,21
165,4
166,11
167,13
168,8
169,11
170,12
171,1
172,7
173,23
174,8
175,23
176,22
177,0
178,24
179,8
180,22
181,8
182,10
183,8
184,5
185,3
186,20
187,25
188,24
189,22
190,12
191,12
192,23
193,2
194,11
195,9
196,18
197,23
198,10
199,22
200,7
201,11
202,23
203,8
204,13
205,7
206,22
207,20
208,1
209,7
210,1
211,13
212,13
213,6
214,18
215,6
216,20
217,6
218,12
219,21
220,14
221,18
222,0
223,7
224,8
225,25
226,20
227,17
228,24
229,13
230,24
231,15
232,6
233,5
234,13
235,8
236,16
237,10
238,23
239,12
240,8
241,8
242,23
243,13
244,10
245,9
246,5
247,17
248,18
249,18
250,13
251,21
252,5
253,18
254,19
255,9
256,1
257,17
258,1
259,23
260,9
261,15
262,13
263,0
264,18
265,2
266,1
267,8
268,13
269,23
270,8
271,10
272,13
273,8
274,2
275,8
276,4
277,8
278,22
279,21
280,6
281,19
282,23
283,22
284,7
285,21
286,22
287,8
288,7
289,2
290,8
291,9
292,8
293,11
294,12
295,20
296,0
297,2
298,12
299,17
300,22
301,21
302,1
303,3
304,18
305,6
306,23
307,18
308,6
309,18
310,3
311,16
312,8
313,7
314,13
315,24
316,22
317,4
318,24
319,22
320,8
321,12
322,6
323,18
324,24
325,11
326,22
327,23
328,12
329,13
330,10
331,21
332,24
333,23
334,0
335,10
336,14
337,7
338,24
339,10
340,22
341,0
342,13
343,22
344,18
345,21
346,24
347,24
348,7
349,0
350,9
351,4
352,18
353,0
354,22
355,8
356,18
357,18
358,12
359,18
360,12
361,20
362,21
363,18
364,18
365,22
366,23
367,16
368,5
369,12
370,22
371,13
372,7
373,12
374,9
375,24
376,7
377,11
378,5
379,6
380,21
381,11
382,24
383,9
384,7
385,14
386,24
387,24
388,13
389,12
390,7
391,0
392,6
393,19
394,17
395,0
396,22
397,16
398,22
399,24
400,12
401,4
402,8
403,2
404,1
405,24
406,11
407,18
408,24
409,22
410,12
411,7
412,2
413,0
414,4
415,16
416,23
417,12
418,0
419,4
420,9
421,8
422,12
423,7
424,8
425,20
426,14
427,9
428,13
429,11
430,11
431,24
432,16
433,8
434,7
435,21
436,0
437,22
438,9
439,23
440,17
441,23
442,22
443,16
444,17
445,8
446,12
447,22
448,1
449,22
450,24
451,22
452,21
453,5
454,23
455,5
456,24
457,24
458,19
459,11
460,24
461,0
462,0
463,3
464,7
465,6
466,13
467,16
468,12
469,2
470,24
471,20
472,12
473,13
474,8
475,4
476,8
477,15
478,14
479,24
480,0
481,12
482,15
483,18
484,13
485,12
486,14
487,6
488,6
489,13
490,10
491,11
492,18
493,8
494,4
495,10
496,12
497,24
498,22
499,23
500,13
501,21
502,12
503,22
504,11
505,15
506,3
507,8
508,3
509,5
510,18
511,19
512,17
513,15
514,12
515,5
516,10
517,2
518,0
519,22
520,1
521,0
522,22
523,6
524,8
525,10
526,1
527,12
528,22
529,21
530,13
531,3
532,24
533,16
534,21
535,23
536,8
537,23
538,8
539,16
540,22
541,16
542,15
543,2
544,25
545,19
546,12
547,18
548,8
549,11
550,13
551,12
552,16
553,12
554,8
555,21
556,11
557,12
558,12
559,13
