,Predicted
0,9
1,17
2,12
3,13
4,17
5,16
6,17
7,9
8,14
9,0
10,14
11,2
12,13
13,15
14,2
15,10
16,11
17,8
18,11
19,15
20,8
21,8
22,8
23,13
24,12
25,10
26,10
27,2
28,11
29,11
30,10
31,11
32,9
33,0
34,13
35,17
36,10
37,13
38,8
39,17
40,2
41,8
42,6
43,13
44,8
45,9
46,25
47,22
48,8
49,6
50,10
51,10
52,12
53,7
54,2
55,9
56,2
57,6
58,11
59,2
60,11
61,6
62,17
63,13
64,13
65,14
66,17
67,9
68,22
69,11
70,10
71,8
72,14
73,2
74,13
75,2
76,8
77,2
78,8
79,14
80,12
81,6
82,9
83,2
84,7
85,6
86,0
87,14
88,9
89,10
90,8
91,10
92,0
93,11
94,25
95,2
96,2
97,0
98,13
99,0
100,6
101,6
102,0
103,13
104,12
105,10
106,12
107,9
108,13
109,13
110,10
111,6
112,11
113,14
114,22
115,13
116,10
117,17
118,6
119,10
120,0
121,8
122,11
123,17
124,17
125,11
126,14
127,13
128,17
129,14
130,12
131,16
132,17
133,8
134,16
135,8
136,22
137,17
138,17
139,13
140,0
141,8
142,13
143,17
144,9
145,6
146,6
147,6
148,15
149,6
150,22
151,11
152,12
153,10
154,10
155,9
156,11
157,8
158,11
159,10
160,13
161,17
162,0
163,13
164,13
165,6
166,2
167,11
168,13
169,6
170,9
171,22
172,6
173,17
174,16
175,8
176,11
177,8
178,10
179,2
180,14
181,6
182,10
183,13
184,8
185,11
186,11
187,17
188,6
189,0
190,2
191,8
192,12
193,9
194,9
195,12
196,2
197,10
198,11
199,6
200,8
201,17
202,13
203,0
204,7
205,2
206,8
207,2
208,2
209,13
210,17
211,12
212,10
213,14
214,11
215,6
216,8
217,9
218,6
219,8
220,0
221,8
222,2
223,13
224,13
225,2
226,12
227,17
228,12
229,2
230,14
231,11
232,8
233,10
234,13
235,12
236,2
237,8
238,2
